Campaign_ID,Channel,Region,Age_Group,Month,Impressions,Clicks,Conversions,Cost,Revenue
CAMP_0098,Email,South,25-34,Dec,6299,469,,1944.08,18679.92
CAMP_0099,Email,North,18-24,Jul,5944,861,81.0,1787.93,8920.13
CAMP_0100,SEO,North,55+,Aug,27838,2101,247.0,1014.64,52015.26
CAMP_0101,SEO,South,35-44,Apr,39258,3098,,1740.94,62243.31
CAMP_0102,Email,North,45-54,Feb,41806,4929,510.0,2654.46,156065.69
CAMP_0103,Influencer,South,18-24,May,46368,2265,132.0,5855.89,6848.94
CAMP_0104,Email,South,35-44,Apr,36822,4186,594.0,2131.87,205997.23
CAMP_0105,TV Ad,East,55+,Mar,22389,1301,48.0,7116.23,1089.25
CAMP_0106,Email,East,25-34,Mar,32419,3615,540.0,2691.11,112932.95
CAMP_0107,SEO,East,45-54,Oct,15596,1011,117.0,1657.8,38331.9
CAMP_0108,PPC,East,18-24,Sep,49285,4108,304.0,2840.68,35862.03
CAMP_0109,SEO,North,25-34,Jul,24752,943,113.0,2827.13,
CAMP_0110,PPC,South,45-54,Jul,27665,2626,136.0,6935.5,19538.99
CAMP_0111,Email,North,25-34,Jan,41760,2281,,850.05,84068.2
CAMP_0112,Social Media,West,35-44,Oct,37397,976,62.0,2532.55,4700.41
CAMP_0113,Email,East,55+,Aug,25063,3484,473.0,2592.7,201390.13
CAMP_0114,Email,East,25-34,Sep,49275,2023,292.0,577.96,136235.75
CAMP_0115,PPC,North,35-44,Mar,16048,1054,59.0,2639.59,8447.62
CAMP_0116,Email,East,18-24,Jan,10650,589,74.0,505.85,8116.28
CAMP_0117,TV Ad,East,55+,Jun,21491,1943,71.0,11690.09,6886.66
CAMP_0118,PPC,West,18-24,Jul,12918,1422,62.0,7883.46,3038.55
CAMP_0119,SEO,South,35-44,Jul,17774,433,48.0,2314.27,16162.09
CAMP_0120,PPC,West,35-44,Dec,26510,2098,,6470.39,18865.26
CAMP_0121,Email,North,45-54,Jun,30866,1981,269.0,692.38,42712.77
CAMP_0122,Social Media,South,35-44,Jul,29687,2240,219.0,3503.57,31360.3
CAMP_0123,Email,North,55+,Dec,14919,1847,287.0,1459.91,93330.06
CAMP_0124,SEO,South,18-24,Mar,11616,1392,132.0,3595.77,39393.14
CAMP_0125,SEO,South,18-24,Jan,35801,2095,176.0,1750.41,12015.26
CAMP_0126,Social Media,West,35-44,Feb,44194,6341,594.0,1497.75,68934.63
CAMP_0127,Email,South,18-24,Oct,49988,5221,667.0,2977.92,109559.55
CAMP_0128,Email,East,45-54,Oct,15199,995,87.0,2893.18,39830.38
CAMP_0129,SEO,South,55+,Aug,19850,2353,262.0,1632.75,75063.67
CAMP_0130,PPC,West,55+,Sep,38443,3667,166.0,2209.19,15367.92
CAMP_0131,Email,West,45-54,Jun,29841,3737,490.0,2630.48,57284.09
CAMP_0132,Social Media,North,18-24,Feb,47681,4254,,3893.68,
CAMP_0133,SEO,North,55+,Jan,3396,468,48.0,2337.88,12658.48
CAMP_0134,Influencer,North,18-24,May,20623,1070,59.0,8581.98,5359.67
CAMP_0135,PPC,East,25-34,Oct,3469,154,11.0,5711.67,1454.3
CAMP_0136,Influencer,East,25-34,Nov,43534,1780,148.0,4600.38,22859.79
CAMP_0137,TV Ad,East,25-34,Sep,32966,2273,48.0,14477.2,1720.42
CAMP_0138,TV Ad,West,25-34,Apr,34339,1488,51.0,10128.08,2025.08
CAMP_0139,Social Media,South,55+,Dec,9073,740,43.0,3832.69,8182.59
CAMP_0140,PPC,West,35-44,Nov,36196,2528,112.0,2780.52,12261.93
CAMP_0141,PPC,East,55+,Nov,27029,2186,166.0,4675.42,24044.57
CAMP_0142,Email,West,45-54,May,14261,711,66.0,705.95,31233.15
CAMP_0143,Influencer,South,25-34,Mar,49901,5928,400.0,9001.52,38002.46
CAMP_0144,Email,North,18-24,May,49651,4625,545.0,2129.17,77144.63
CAMP_0145,Email,West,25-34,Mar,21017,2499,322.0,1634.23,26368.59
CAMP_0146,Email,South,18-24,Dec,48837,1721,160.0,1655.24,39755.65
CAMP_0147,Email,South,25-34,Jun,36201,4477,476.0,1954.93,41582.26
CAMP_0148,Social Media,West,18-24,Jun,21581,2978,270.0,3779.93,24451.03
CAMP_0149,SEO,North,55+,Jan,9905,1197,,3047.89,30628.01
CAMP_0150,Influencer,South,45-54,Jan,44201,6500,373.0,5504.61,77495.61
CAMP_0151,TV Ad,West,25-34,Dec,2925,284,9.0,6863.3,433.67
CAMP_0152,Influencer,South,25-34,Mar,25826,2142,164.0,5376.15,25547.87
CAMP_0153,Email,North,35-44,Oct,37877,1159,102.0,910.0,12766.25
CAMP_0154,Social Media,South,25-34,Mar,5780,252,23.0,2880.73,3806.6
CAMP_0155,Email,South,18-24,Jul,3920,329,29.0,2990.83,4460.2
CAMP_0156,SEO,West,25-34,Jan,1956,254,27.0,3578.47,9380.4
CAMP_0157,SEO,South,25-34,Mar,26849,3068,304.0,2681.79,125444.2
CAMP_0158,SEO,West,25-34,Dec,49364,3976,477.0,3719.56,136556.33
CAMP_0159,Social Media,East,18-24,Apr,27916,3658,291.0,3050.46,60977.94
CAMP_0160,SEO,West,45-54,Jul,27616,1984,241.0,1323.28,50661.26
CAMP_0161,SEO,North,18-24,May,45738,3543,318.0,1555.36,89349.27
CAMP_0162,Email,East,55+,Dec,24040,1269,139.0,2042.86,
CAMP_0163,SEO,West,25-34,Feb,27155,2118,258.0,3501.35,65062.98
CAMP_0164,Email,North,18-24,Jan,1281,32,2.0,1077.83,789.64
CAMP_0165,SEO,South,55+,Sep,42235,6261,800.0,3002.27,240570.52
CAMP_0166,SEO,North,45-54,Feb,7570,632,69.0,1613.52,5158.5
CAMP_0167,Email,East,25-34,Jan,11225,499,68.0,2183.58,9662.25
CAMP_0168,Influencer,North,45-54,Nov,23473,522,30.0,9612.3,6815.49
CAMP_0169,TV Ad,South,45-54,Feb,36840,1769,58.0,15342.9,4204.4
CAMP_0170,TV Ad,East,18-24,Nov,6704,889,34.0,5723.18,1070.6
CAMP_0171,Influencer,East,35-44,Nov,30165,4233,285.0,5828.98,67150.39
CAMP_0172,Social Media,East,45-54,Sep,27200,1705,147.0,2187.48,25964.39
CAMP_0173,SEO,South,25-34,Sep,32010,1585,117.0,2546.2,34905.41
CAMP_0174,Social Media,North,25-34,May,36631,4766,476.0,4453.33,39995.76
CAMP_0175,Email,North,55+,Jul,9234,1102,157.0,1691.74,69965.42
CAMP_0176,Social Media,North,55+,Jun,28764,3933,266.0,4586.86,20098.75
CAMP_0177,Email,West,25-34,Apr,8151,717,94.0,915.83,29297.27
CAMP_0178,PPC,South,55+,Jul,44596,3289,152.0,4399.43,19262.75
CAMP_0179,Social Media,North,45-54,Aug,9636,514,52.0,4173.63,11346.44
CAMP_0180,SEO,North,25-34,Aug,23668,2324,276.0,1159.37,47495.27
CAMP_0181,Social Media,East,45-54,Dec,7295,481,32.0,4359.45,3885.07
CAMP_0182,PPC,East,45-54,Feb,38778,3920,228.0,6857.18,15383.0
CAMP_0183,SEO,South,18-24,Sep,42621,983,106.0,2513.15,27477.08
CAMP_0184,SEO,North,18-24,Nov,47882,4674,516.0,3960.91,109450.11
CAMP_0185,TV Ad,West,55+,Jan,39467,4505,141.0,6925.91,3549.19
CAMP_0186,SEO,West,55+,Dec,11106,718,76.0,2083.8,25062.19
CAMP_0187,Email,South,25-34,Jul,35503,3714,454.0,1850.03,
CAMP_0188,Social Media,North,55+,Sep,10686,859,50.0,2451.78,12872.26
CAMP_0189,Email,West,35-44,Jul,24197,1900,263.0,1523.69,76823.25
CAMP_0190,Social Media,West,25-34,Aug,27116,3140,291.0,1609.66,50060.55
CAMP_0191,PPC,East,25-34,Feb,12023,1032,49.0,2766.28,2319.19
CAMP_0192,Social Media,West,25-34,Jul,48864,4495,317.0,2385.29,44076.41
CAMP_0193,Email,South,25-34,Mar,11382,1695,246.0,2465.69,87231.73
CAMP_0194,PPC,North,35-44,Feb,8629,1076,75.0,5194.89,3569.26
CAMP_0195,Email,South,18-24,Apr,8373,1229,159.0,1059.04,23346.75
CAMP_0196,SEO,North,55+,May,32055,3828,308.0,1245.43,62397.9
CAMP_0197,Email,West,45-54,Apr,18347,689,105.0,1695.59,44264.78
CAMP_0198,Social Media,East,35-44,May,13677,274,15.0,1422.66,1996.86
CAMP_0199,PPC,North,35-44,May,37618,4440,285.0,4758.8,27795.97
CAMP_0200,Email,West,18-24,May,10074,434,58.0,1258.19,18238.92
CAMP_0201,SEO,East,55+,Mar,42779,4502,544.0,1780.01,192742.7
CAMP_0202,Social Media,South,35-44,May,35317,1518,113.0,2656.52,13892.78
CAMP_0203,Email,South,25-34,May,24177,2623,256.0,1149.53,52292.51
CAMP_0204,Email,West,55+,Oct,1671,139,12.0,661.54,2928.99
CAMP_0205,Email,South,25-34,May,38487,4458,527.0,2661.65,109744.43
CAMP_0206,TV Ad,North,18-24,Oct,31911,3902,104.0,6997.18,6458.94
CAMP_0207,TV Ad,North,18-24,Dec,26364,3355,100.0,8795.88,5613.69
CAMP_0208,SEO,North,35-44,Jan,48684,5640,568.0,3623.87,55415.43
CAMP_0209,Email,West,35-44,Apr,36479,898,108.0,678.14,24967.27
CAMP_0210,PPC,South,45-54,Jan,29138,2143,132.0,5968.22,7430.65
CAMP_0211,Social Media,South,18-24,Sep,36144,2517,165.0,4076.89,25191.25
CAMP_0212,TV Ad,South,55+,May,7910,1154,40.0,12173.83,3790.22
CAMP_0213,TV Ad,North,35-44,Dec,30921,1133,30.0,12811.52,1400.83
CAMP_0214,Social Media,West,55+,Mar,13275,680,42.0,1654.74,8730.27
CAMP_0215,PPC,South,45-54,Nov,11736,629,38.0,3901.53,2944.45
CAMP_0216,Social Media,West,35-44,Feb,44541,4015,365.0,4012.75,59872.2
CAMP_0217,Email,East,35-44,Jul,21567,1391,158.0,1764.63,58878.12
CAMP_0218,PPC,North,45-54,May,10496,1248,59.0,7239.94,2350.19
CAMP_0219,Influencer,South,35-44,Nov,22727,3053,233.0,4945.31,38471.49
CAMP_0220,PPC,South,18-24,Feb,20363,421,29.0,4251.56,3667.39
CAMP_0221,PPC,West,55+,Apr,37751,1485,78.0,6070.27,17450.22
CAMP_0222,PPC,South,45-54,Dec,24705,1751,99.0,7317.17,4216.7
CAMP_0223,PPC,South,45-54,Apr,28766,3844,232.0,2557.94,13962.29
CAMP_0224,Email,South,35-44,Jun,17029,2122,,1716.49,62959.18
CAMP_0225,PPC,West,18-24,Jul,22817,2555,179.0,6475.55,19406.25
CAMP_0226,Email,North,18-24,Jun,20194,2507,348.0,1428.56,
CAMP_0227,PPC,South,55+,Sep,19394,2117,164.0,6713.91,27832.42
CAMP_0228,SEO,North,35-44,Mar,47850,1119,79.0,3934.87,14603.23
CAMP_0229,TV Ad,South,55+,Apr,6017,802,28.0,8889.45,2164.95
CAMP_0230,Email,North,45-54,Dec,16078,2210,330.0,701.5,32071.07
CAMP_0231,Email,South,45-54,Jul,14975,1218,103.0,2378.44,9420.17
CAMP_0232,Email,South,45-54,Sep,18015,2643,292.0,2765.64,105598.96
CAMP_0233,SEO,East,25-34,Aug,3643,366,37.0,907.56,6122.43
CAMP_0234,SEO,North,55+,Oct,42903,6083,444.0,1209.56,68375.55
CAMP_0235,TV Ad,West,18-24,Sep,35521,1593,43.0,7174.48,3992.84
CAMP_0236,Email,North,55+,Feb,26470,1393,202.0,2300.02,54417.26
CAMP_0237,Social Media,South,55+,May,45629,4168,356.0,3170.18,72327.2
CAMP_0238,TV Ad,West,45-54,Nov,4137,135,4.0,17749.63,330.41
CAMP_0239,SEO,West,45-54,Jun,35622,3015,272.0,966.26,77494.77
CAMP_0240,Email,South,45-54,Oct,31798,4271,626.0,815.63,133657.73
CAMP_0241,SEO,South,45-54,Jul,23263,1868,232.0,2568.04,54967.63
CAMP_0242,Influencer,West,45-54,Sep,33658,2603,148.0,5662.94,8016.63
CAMP_0243,SEO,West,45-54,Jun,7710,798,65.0,2830.66,
CAMP_0244,PPC,West,18-24,Jul,7530,506,37.0,3900.57,3790.9
CAMP_0245,Email,East,18-24,Dec,47971,6075,647.0,2734.97,299877.04
CAMP_0246,PPC,West,25-34,Nov,26150,2172,100.0,3918.0,9744.15
CAMP_0247,Email,South,55+,Mar,10752,345,29.0,531.52,5118.77
CAMP_0248,Email,South,45-54,Dec,10587,1475,135.0,2645.44,62727.75
CAMP_0249,Social Media,West,25-34,Jan,47037,6005,432.0,2017.29,75162.36
CAMP_0250,Email,West,18-24,May,46096,5354,,854.93,127444.21
CAMP_0251,Influencer,West,45-54,Jul,33602,3442,186.0,8906.16,20611.37
CAMP_0252,Email,East,55+,Mar,22447,661,59.0,2138.21,20964.86
CAMP_0253,PPC,North,25-34,Mar,9179,1303,95.0,4449.84,
CAMP_0254,Influencer,North,35-44,Mar,3454,145,9.0,7695.13,735.08
CAMP_0255,TV Ad,South,18-24,Mar,9787,218,6.0,6660.81,497.05
CAMP_0256,TV Ad,East,45-54,Jul,22778,2839,60.0,17390.59,5833.68
CAMP_0257,SEO,North,18-24,Aug,5493,265,20.0,2832.29,2650.03
CAMP_0258,Social Media,West,45-54,Aug,30492,1788,125.0,4298.14,8505.78
CAMP_0259,Influencer,East,35-44,Feb,6374,192,11.0,5312.86,630.06
CAMP_0260,SEO,North,18-24,Apr,14615,1871,198.0,2908.24,17970.27
CAMP_0261,Influencer,South,18-24,Mar,45096,1049,81.0,3452.81,14094.6
CAMP_0262,Influencer,East,45-54,Dec,15567,2230,150.0,6103.66,26794.09
CAMP_0263,Email,North,18-24,Feb,9770,1023,155.0,2466.88,54470.53
CAMP_0264,Social Media,North,18-24,Mar,42689,5889,397.0,2889.97,57139.24
CAMP_0265,Email,West,35-44,Apr,31519,3051,374.0,2026.95,43478.79
CAMP_0266,Email,North,18-24,Aug,17724,1364,136.0,1347.15,13050.55
CAMP_0267,Email,West,35-44,Mar,34623,3085,454.0,2042.67,44460.87
CAMP_0268,SEO,West,55+,Jan,45199,3382,320.0,3774.17,111941.88
CAMP_0269,Influencer,East,18-24,Apr,4321,491,41.0,9685.42,5718.55
CAMP_0270,PPC,West,45-54,Jan,18373,2279,150.0,2686.93,16574.18
CAMP_0271,Email,East,35-44,Oct,20086,2359,268.0,700.45,86458.05
CAMP_0272,SEO,North,35-44,Aug,41312,1655,132.0,1244.39,43063.42
CAMP_0273,Influencer,North,18-24,Sep,29939,1747,121.0,7864.18,6595.2
CAMP_0274,PPC,North,55+,Jun,35587,2503,181.0,5913.75,8894.93
CAMP_0275,PPC,East,35-44,Oct,43849,3067,178.0,4678.52,
CAMP_0276,Social Media,North,18-24,Jan,21384,1889,152.0,1109.68,24532.01
CAMP_0277,TV Ad,East,18-24,Jan,41379,2865,60.0,10096.53,5010.59
CAMP_0278,PPC,North,55+,Feb,1929,249,15.0,5634.68,851.15
CAMP_0279,SEO,East,35-44,Oct,34210,3049,238.0,888.12,28612.15
CAMP_0280,Social Media,West,25-34,Dec,3169,111,,2252.83,2410.85
CAMP_0281,SEO,West,55+,May,21538,3121,291.0,1082.25,51147.69
CAMP_0282,SEO,West,55+,Mar,9556,1137,136.0,2503.22,22878.26
CAMP_0283,Email,West,55+,Mar,17766,979,150.0,1768.62,31164.28
CAMP_0284,Email,North,25-34,Mar,14283,1031,160.0,2541.89,54741.29
CAMP_0285,Email,East,55+,Feb,2307,301,40.0,1487.84,6046.75
CAMP_0286,PPC,West,45-54,Sep,20595,513,35.0,5200.32,1713.42
CAMP_0287,Influencer,South,25-34,Apr,33272,4770,336.0,9608.29,50884.19
CAMP_0288,Social Media,North,35-44,May,14527,1123,95.0,1812.89,14124.83
CAMP_0289,TV Ad,East,18-24,Aug,19354,1902,60.0,11113.76,4110.5
CAMP_0290,Influencer,North,55+,Jul,16072,2187,112.0,6074.05,16237.5
CAMP_0291,Email,North,45-54,Feb,37188,891,130.0,1692.11,39433.27
CAMP_0292,Social Media,West,35-44,Jan,21536,2651,274.0,3932.2,62441.29
CAMP_0293,Social Media,West,35-44,Feb,21620,2549,,3531.63,53042.24
CAMP_0294,Email,East,35-44,Dec,22281,670,75.0,1497.75,7758.83
CAMP_0295,SEO,East,25-34,Oct,3092,445,45.0,3032.82,4221.21
CAMP_0296,Email,East,35-44,Aug,40233,1185,133.0,1695.65,20027.25
CAMP_0297,Social Media,North,55+,May,39454,5436,388.0,1609.32,38055.35
CAMP_0298,Email,West,45-54,Apr,48829,2168,294.0,1540.3,80694.46
CAMP_0299,PPC,West,55+,Nov,40323,2036,107.0,3451.59,12434.92
CAMP_0300,PPC,North,45-54,Jan,29278,1189,87.0,3628.46,14896.23
CAMP_0301,Social Media,West,25-34,Aug,24545,2989,269.0,1000.54,66502.89
CAMP_0302,Email,South,45-54,Apr,6276,885,127.0,1117.06,29981.77
CAMP_0303,PPC,North,25-34,Jul,44148,3307,183.0,7351.23,31020.35
CAMP_0304,SEO,East,55+,May,27586,3579,395.0,2040.48,53171.13
CAMP_0305,TV Ad,West,55+,Oct,29099,3239,85.0,16415.57,6204.28
CAMP_0306,Email,South,35-44,Dec,16206,1378,158.0,1746.43,24234.08
CAMP_0307,Email,North,35-44,Jun,14324,1062,152.0,2647.39,27221.8
CAMP_0308,Influencer,West,25-34,Mar,11860,1399,70.0,4510.18,14251.71
CAMP_0309,Social Media,East,35-44,Sep,20604,2239,175.0,3579.33,12593.0
CAMP_0310,Influencer,North,45-54,Oct,3100,339,20.0,8474.11,4561.94
CAMP_0311,Email,South,45-54,Oct,35832,4937,509.0,2340.5,212702.94
CAMP_0312,PPC,South,55+,Oct,20611,1128,56.0,3871.18,8246.32
CAMP_0313,PPC,South,45-54,Sep,31116,1696,72.0,6842.93,10541.82
CAMP_0314,Social Media,West,35-44,Aug,48658,5167,425.0,1005.41,94233.74
CAMP_0315,PPC,North,25-34,Feb,14767,692,32.0,6682.26,5558.83
CAMP_0316,SEO,West,45-54,Feb,40382,4333,454.0,3191.82,82874.67
CAMP_0317,PPC,North,25-34,Nov,17616,821,55.0,5367.76,10304.28
CAMP_0318,SEO,West,45-54,Sep,14379,1013,111.0,1270.28,18633.09
CAMP_0319,Influencer,West,18-24,Feb,37081,4068,358.0,7954.05,30914.1
CAMP_0320,Social Media,South,25-34,Oct,20167,1715,151.0,4044.35,13686.48
CAMP_0321,Email,North,18-24,Nov,31722,1317,152.0,1646.49,13699.53
CAMP_0322,PPC,West,35-44,Oct,14979,1583,72.0,7122.71,8863.19
CAMP_0323,SEO,South,45-54,Dec,42316,3250,343.0,1501.18,77412.75
CAMP_0324,PPC,West,55+,Oct,29001,3212,180.0,7447.39,40365.91
CAMP_0325,SEO,South,55+,Jun,46550,2335,227.0,3098.66,95354.57
CAMP_0326,SEO,South,45-54,Aug,19020,1312,135.0,3473.31,13990.01
CAMP_0327,Influencer,North,25-34,Apr,6722,356,21.0,8102.03,4158.46
CAMP_0328,Social Media,East,45-54,Apr,26242,3782,301.0,2591.35,46033.88
CAMP_0329,PPC,North,45-54,May,4696,365,18.0,7510.56,3659.09
CAMP_0330,Social Media,North,18-24,May,16417,2200,226.0,3626.52,41547.99
CAMP_0331,Email,West,35-44,May,44361,4806,481.0,938.05,154146.04
CAMP_0332,SEO,North,55+,Apr,44410,1718,164.0,3228.08,65128.3
CAMP_0333,Influencer,East,45-54,Sep,48857,2277,,9222.21,15378.61
CAMP_0334,Social Media,North,45-54,Feb,46026,3953,299.0,2180.97,75927.1
CAMP_0335,PPC,East,55+,May,20459,812,59.0,4115.62,4977.52
CAMP_0336,Social Media,South,55+,Apr,38544,770,58.0,3186.8,3708.2
CAMP_0337,Email,North,55+,Jul,23318,1045,111.0,503.68,36728.13
CAMP_0338,SEO,East,45-54,Jul,14156,1594,189.0,3667.33,31952.48
